payment_id,amount,payment_method,failure_reason,previous_successful_payments,previous_failed_payments,retry_count,customer_success_rate,hour_of_payment,customer_tenure_days,recovery_action,recovered,recovered_amount
PAY_00001,5472,UPI,Insufficient Funds,6,1,2,0.75,8,502,Reminder,0,0
PAY_00002,3090,UPI,User Abandoned,7,1,2,0.778,17,179,UPI Link,1,3090
PAY_00003,1858,UPI,Insufficient Funds,6,0,0,0.857,6,477,UPI Link,0,0
PAY_00004,510,UPI,Network Error,8,3,0,0.667,22,1331,UPI Link,0,0
PAY_00005,1059,Wallet,Bank Timeout,8,1,1,0.8,18,570,UPI Link,1,1059
PAY_00006,4178,UPI,Bank Timeout,8,1,2,0.8,13,697,Reminder,0,0
PAY_00007,8852,Card,Technical Error,7,1,0,0.778,2,779,Retry,0,0
PAY_00008,8092,Net Banking,Network Error,11,0,0,0.917,1,1495,Retry,1,8092
PAY_00009,976,UPI,Card Declined,7,2,0,0.7,17,601,Reminder,0,0
PAY_00010,8944,Net Banking,Network Error,10,2,0,0.769,22,143,Retry,1,8944
PAY_00011,979,Card,Technical Error,10,1,0,0.833,7,207,Retry,1,979
PAY_00012,2396,Wallet,User Abandoned,6,2,0,0.667,5,759,Reminder,0,0
PAY_00013,1741,Net Banking,User Abandoned,8,0,2,0.889,20,147,UPI Link,1,1741
PAY_00014,7018,Card,Network Error,5,3,2,0.556,7,335,UPI Link,0,0
PAY_00015,2538,Net Banking,User Abandoned,10,5,2,0.625,17,450,UPI Link,1,2538
PAY_00016,5773,UPI,Bank Timeout,5,1,0,0.714,10,822,Retry,1,5773
PAY_00017,1197,Card,Network Error,9,1,2,0.818,10,436,UPI Link,0,0
PAY_00018,6319,Wallet,User Abandoned,10,1,1,0.833,4,543,Reminder,0,0
PAY_00019,3130,Net Banking,User Abandoned,12,2,1,0.8,13,1196,Reminder,1,3130
PAY_00020,6814,Card,Bank Timeout,18,0,1,0.947,15,187,UPI Link,1,6814
PAY_00021,3377,UPI,Bank Timeout,4,2,2,0.571,5,1394,Reminder,0,0
